institution,gri_disclosure,gri_title,relationship,stars_credit,stars_field,value,units,populated
"University of California, Berkeley",2-22,Statement on sustainable development strategy,partial,PA-2,Narrative detailing the institution’s guiding vision or goals for sustainability and the plan(s) in which they are published,"UC Berkeley Climate Action Plan: UC Berkeley has a published Climate Action Plan that details its strategies to reduce greenhouse gas emissions and meet climate goals. This plan outlines steps for achieving energy efficiency, promoting renewable energy, and supporting sustainable transportation options on campus. Second Nature Climate Leadership Commitments: UC Berkeley is a signatory to the Climate Leadership Commitments by Second Nature, which includes the Carbon Commitment. This external pledge reinforces the university's commitment to reducing carbon emissions and building resilience in the face of climate change. UC Berkeley Sustainability Plan: The university has published a Sustainability Plan that includes specific targets and goals for areas such as energy, water, waste reduction, sustainable food systems, and biodiversity. The plan is aligned with the broader UC system’s sustainability policies but includes campus-specific goals and timelines. IRAP, Campus Master Plan, LRDP",,True
"University of California, Berkeley",2-23,Policy commitments,component,PA-2,"Has the institution made a public commitment to sustainability, as evidenced by an external commitment or a published plan?",Yes,,True
"University of California, Berkeley",2-23,Policy commitments,component,PA-2,Narrative and/or website URL outlining the institution’s external sustainability commitments that include a reporting requirement,"STARS Reporting through AASHE: UC Berkeley is a participant in the Sustainability Tracking, Assessment & Rating System (STARS), which is managed by AASHE. By completing and publishing STARS assessments, UC Berkeley transparently shares its sustainability performance and progress. The campus's ongoing participation in STARS reflects its commitment to continual improvement and accountability in sustainability. The Climate Registry (TCR): UC Berkeley reports greenhouse gas (GHG) emissions data to The Climate Registry, a non-profit organization that provides standardized methods for measuring and reporting carbon emissions. Through TCR, UC Berkeley submits verified annual GHG inventories, which are then made publicly accessible. This reporting helps ensure transparency and accuracy in tracking emissions over time.",,True
"University of California, Berkeley",2-24,Embedding policy commitments,component,OP-9,Does the institution have a published code of conduct to guide suppliers on the institution’s social and environmental expectations for them?,Yes,,True
"University of California, Berkeley",2-24,Embedding policy commitments,component,EN-3,Does the institution make available sustainability-focused training opportunities to non-academic staff on at least an annual basis?,Yes,,True
"University of California, Berkeley",2-24,Embedding policy commitments,partial,PA-1,Narrative outlining the activities and substantive accomplishments of the institution-wide coordinating body or officer during the previous three years,"The UC Berkeley Office of Sustainability provides campus leadership by setting ambitious sustainability goals and strategies and by accelerating the achievement of these goals through project implementation, planning, partnerships and community engagement. Our mission is to integrate cutting-edge sustainability practices into our operations, foster the culture of sustainability at home and in the world, and enable and improve excellence in sustainability. Some recent achievements led by the Sustainability Officer: - Earned the #1 spot in the first ever QS World University Sustainability Rankings - Helped lead the development of a clean electrified campus energy system which is slated for completion by 2035 - Helped secure $249 million from the State of California for the Berkeley Clean Energy Campus project - Led the climate change resilience strategy through the CACS Working Group - Certified staff as Sustainability Staff Advisors using a new Office of Sustainability Staff Training and Certification Program Additionally, UC Berkeley's highlighted achievements can be found in UC systemwide annual sustainability reports: http://ucop.edu/sustainability/policy-areas/annual-reports.html https://cleanenergycampus.berkeley.edu/sites/default/files/irap_final_05-2024_-_aei_report_version_2.pdf",,True
"University of California, Berkeley",2-25,Processes to remediate negative impacts,partial,PA-12,Does the institution publish information on grievance resolution in a format that is accessible to all employees?,Yes,,True
"University of California, Berkeley",2-26,Mechanisms for seeking advice and raising concerns,component,PA-12,Does the institution publish information on whistleblower protections in a format that is accessible to all employees?,Yes,,True
"University of California, Berkeley",2-26,Mechanisms for seeking advice and raising concerns,component,PA-12,Narrative and/or website URL providing an overview of the institution’s published measures to protect employee rights,"UC Berkeley Human Resources Policies: UC Berkeley has a dedicated section on its Human Resources website that outlines policies related to employee rights, including fair treatment, grievance procedures, and work-life balance. The policies cover areas like anti-discrimination, whistleblower protection, and employee benefits, offering a transparent overview of employee rights and support. University of California Statement of Ethical Values and Standards of Ethical Conduct: This is a comprehensive code that applies to all UC campuses, including Berkeley. It highlights the university’s commitment to integrity, respect, and accountability in its relations with employees. Union Representation and Collective Bargaining: UC Berkeley supports the right of employees to unionize and has a number of unions representing various employee groups. Information on union agreements, employee advocacy, and collective bargaining rights can be found on the UCOP Labor Relations website, which details agreements specific to each bargaining unit. Berkeley Office for the Prevention of Harassment and Discrimination (OPHD): OPHD is responsible for ensuring compliance with non-discrimination policies, providing resources, and supporting a fair work environment. More information on the measures in place to protect against discrimination and harassment can be found on their website.",,True
"University of California, Berkeley",2-28,Membership associations,partial,PA-2,Narrative and/or website URL outlining the institution’s external sustainability commitments that include a reporting requirement,"STARS Reporting through AASHE: UC Berkeley is a participant in the Sustainability Tracking, Assessment & Rating System (STARS), which is managed by AASHE. By completing and publishing STARS assessments, UC Berkeley transparently shares its sustainability performance and progress. The campus's ongoing participation in STARS reflects its commitment to continual improvement and accountability in sustainability. The Climate Registry (TCR): UC Berkeley reports greenhouse gas (GHG) emissions data to The Climate Registry, a non-profit organization that provides standardized methods for measuring and reporting carbon emissions. Through TCR, UC Berkeley submits verified annual GHG inventories, which are then made publicly accessible. This reporting helps ensure transparency and accuracy in tracking emissions over time.",,True
"University of California, Berkeley",2-29,Approach to stakeholder engagement,component,PA-3,"Description of other mechanisms used to consult students on institutional decisions, plans, or policies","Each year, one UC student is appointed as a Student Regent with voting rights, representing all UC students on the Board. Additionally, a Student Regent-designate is selected to serve a year as a non-voting member before transitioning to the voting position. These Student Regents have the responsibility to advocate for student perspectives and engage with systemwide issues, bringing student concerns directly to the Regents’ decision-making process. The Student Regent is a voting member of The Regents of the University of California, attending all meetings of the Board and its Committees and serving a one-year term. This position is not elected but is filled by application and open to all students currently enrolled in the UC system. From the time of appointment as a Student Regent, but prior to the commencement of service as a member of the Board, the appointee holds the title Regent-designate and is invited to participate in all meetings of the Board and of its Committees, but without a vote.",,True
"University of California, Berkeley",2-29,Approach to stakeholder engagement,component,PA-3,"Description of other mechanisms used to consult academic staff on institutional decisions, plans, or policies",Berkeley Academic Senate: https://academic-senate.berkeley.edu/,,True
"University of California, Berkeley",2-29,Approach to stakeholder engagement,component,PA-3,"Narrative and/or website URL outlining the ad hoc mechanisms used during the previous three years to consult local community members on institutional decisions, plans, or policies","The Government and Community Relations unit of the Chancellor’s Office partners with the Berkeley City Manager’s Office to facilitate the meetings of the Berkeley City Council’s Special City/UC/Student Committee , which meets at least once each semester. Known as the 4x6 Committee, the special committee includes the (4) City Councilmembers who represent neighborhoods that are adjacent to the campus, (2) representatives of the undergraduate student government, (2) representatives of the graduate student government, and (2) campus administrators. The committee agendas and discussions focus on issues of mutual concern, including presentations on the university’s Capital Projects and university programs and initiatives that are of shared interest to the stakeholders. UC Berkeley’s Government and Community Relations (GCR) website: https://chancellor.berkeley.edu/gcr",,True
"University of California, Berkeley",2-29,Approach to stakeholder engagement,component,PA-3,Does the institution have one or more ongoing bodies through which local community-based organizations not affiliated with the institution can democratically participate in its governance?,Yes,,True
"University of California, Berkeley",3-2,List of material topics,partial,PA-2,Has the institution adopted one or more measurable sustainability objectives that address campus operations?,Yes,,True
"University of California, Berkeley",3-2,List of material topics,partial,PA-2,"Has the institution adopted one or more measurable sustainability objectives that address teaching, learning, and/or research?",Yes,,True
